IRIS,Département,Commune ou ARM,Libellé commune ou ARM,TRIRIS,Grand quartier,Libellé de l'IRIS,Label de l'IRIS,Population en 2016 (princ),Pop 0-2 ans en 2016 (princ),Pop 3-5 ans en 2016 (princ),Pop 6-10 ans en 2016 (princ),Pop 11-17 ans en 2016 (princ),Pop 18-24 ans en 2016 (princ),Pop 25-39 ans en 2016 (princ),Pop 40-54 ans en 2016 (princ),Pop 55-64 ans en 2016 (princ),Pop 65-79 ans en 2016 (princ),Pop 80 ans ou plus en 2016 (princ),Pop 0-14 ans en 2016 (princ),Pop 15-29 ans en 2016 (princ),Pop 30-44 ans en 2016 (princ),Pop 45-59 ans en 2016 (princ),Pop 60-74 ans en 2016 (princ),Pop 75 ans ou plus en 2016 (princ),Pop 0-19 ans en 2016 (princ),Pop 20-64 ans en 2016 (princ),Pop 65 ans ou plus en 2016 (princ),Pop Hommes en 2016 (princ),Pop Hommes 0-14 ans en 2016 (princ),Pop Hommes 15-29 ans en 2016 (princ),Pop Hommes 30-44 ans en 2016 (princ),Pop Hommes 45-59 ans en 2016 (princ),Pop Hommes 60-74 ans en 2016 (princ),Pop Hommes 75 ans ou plus en 2016 (princ),Pop Hommes 0-19 ans en 2016 (princ),Pop Hommes 20-64 ans en 2016 (princ),Pop Hommes 65 ans ou plus en 2016 (princ),Pop Femmes en 2016 (princ),Pop Femmes 0-14 ans en 2016 (princ),Pop Femmes 15-29 ans en 2016 (princ),Pop Femmes 30-44 ans en 2016 (princ),Pop Femmes 45-59 ans en 2016 (princ),Pop Femmes 60-74 ans en 2016 (princ),Pop Femmes 75 ans ou plus en 2016 (princ),Pop Femmes 0-19 ans en 2016 (princ),Pop Femmes 20-64 ans en 2016 (princ),Pop Femmes 65 ans ou plus en 2016 (princ),Pop 15 ans ou plus en 2016 (compl),Pop 15 ans ou plus Agriculteurs exploitants en 2016 (compl),"Pop 15 ans ou plus Artisans, Comm., Chefs entr. en 2016 (compl)","Pop 15 ans ou plus Cadres, Prof. intel. sup. en 2016 (compl)",Pop 15 ans ou plus Prof. intermédiaires en 2016 (compl),Pop 15 ans ou plus Employés en 2016 (compl),Pop 15 ans ou plus Ouvriers en 2016 (compl),Pop 15 ans ou plus Retraités en 2016 (compl),Pop 15 ans ou plus Autres en 2016 (compl),Pop 15 ans ou plus Hommes en 2016 (compl),Pop 15 ans ou plus Hommes Agriculteurs exploitants en 2016 (compl),"Pop 15 ans ou plus Hommes Artisans, Comm., Chefs entr. en 2016 (compl)","Pop 15 ans ou plus Hommes Cadres, Prof. intel. sup. en 2016 (compl)",Pop 15 ans ou plus Hommes Prof. intermédiaires en 2016 (compl),Pop 15 ans ou plus Hommes Employés en 2016 (compl),Pop 15 ans ou plus Hommes Ouvriers en 2016 (compl),Pop 15 ans ou plus Hommes Retraités en 2016 (compl),Pop 15 ans ou plus Hommes Autres en 2016 (compl),Pop 15 ans ou plus Femmes en 2016 (compl),Pop 15 ans ou plus Femmes Agriculteurs exploitants en 2016 (compl),"Pop 15 ans ou plus Femmes Artisans, Comm., Chefs entr. en 2016 (compl)","Pop 15 ans ou plus Femmes Cadres, Prof. intel. sup. en 2016 (compl)",Pop 15 ans ou plus Femmes Prof. intermédiaires en 2016 (compl),Pop 15 ans ou plus Femmes Employés en 2016 (compl),Pop 15 ans ou plus Femmes Ouvriers en 2016 (compl),Pop 15 ans ou plus Femmes Retraités en 2016 (compl),Pop 15 ans ou plus Femmes Autres en 2016 (compl),Pop Français en 2016 (princ),Pop Etrangers en 2016 (princ),Pop Immigrés en 2016 (princ),Pop ménages en 2016 (princ),Pop hors ménages en 2016 (princ)
IRIS,DEP,COM,LIBCOM,TRIRIS,GRD_QUART,LIBIRIS,LAB_IRIS,P16_POP,P16_POP0002,P16_POP0305,P16_POP0610,P16_POP1117,P16_POP1824,P16_POP2539,P16_POP4054,P16_POP5564,P16_POP6579,P16_POP80P,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,P16_POP0019,P16_POP2064,P16_POP65P,P16_POPH,P16_H0014,P16_H1529,P16_H3044,P16_H4559,P16_H6074,P16_H75P,P16_H0019,P16_H2064,P16_H65P,P16_POPF,P16_F0014,P16_F1529,P16_F3044,P16_F4559,P16_F6074,P16_F75P,P16_F0019,P16_F2064,P16_F65P,C16_POP15P,C16_POP15P_CS1,C16_POP15P_CS2,C16_POP15P_CS3,C16_POP15P_CS4,C16_POP15P_CS5,C16_POP15P_CS6,C16_POP15P_CS7,C16_POP15P_CS8,C16_H15P,C16_H15P_CS1,C16_H15P_CS2,C16_H15P_CS3,C16_H15P_CS4,C16_H15P_CS5,C16_H15P_CS6,C16_H15P_CS7,C16_H15P_CS8,C16_F15P,C16_F15P_CS1,C16_F15P_CS2,C16_F15P_CS3,C16_F15P_CS4,C16_F15P_CS5,C16_F15P_CS6,C16_F15P_CS7,C16_F15P_CS8,P16_POP_FR,P16_POP_ETR,P16_POP_IMM,P16_PMEN,P16_PHORMEN
975010000,975,97501,Miquelon-Langlade,ZZZZZZ,9750100,Miquelon-Langlade,5,596,22,13,38,50,29,108,145,83,79,29,97,81,121,147,102,48,132,356,108,296,52,42,57,73,55,17,70,175,51,300,45,39,64,74,47,31,62,181,57,499,5,15,11,53,121,97,118,79,244,4,6,3,33,37,74,64,23,255,1,9,8,20,84,23,54,56,588,8,24,596,0
975020101,975,97502,Saint-Pierre,ZZZZZZ,9750201,Saint-Pierre - IRIS 0101,4,2742,78,68,174,234,131,454,633,363,406,201,446,375,516,635,438,332,585,1550,607,1301,214,206,250,325,191,115,294,782,225,1441,232,169,266,310,247,217,291,768,382,2296,0,99,218,322,473,251,673,260,1087,0,56,127,174,134,209,268,119,1209,0,43,91,148,339,42,405,141,2710,32,97,2661,81
975020102,975,97502,Saint-Pierre,ZZZZZZ,9750201,Saint-Pierre - IRIS 0102,4,2670,86,109,204,274,125,475,771,380,221,25,553,354,581,765,348,69,713,1711,246,1339,273,183,272,389,189,33,349,863,127,1331,280,171,309,376,159,36,364,848,119,2117,3,103,217,340,536,295,371,252,1066,3,69,124,155,148,272,202,93,1051,0,34,93,185,388,23,169,159,2645,25,92,2667,3
977010101,977,97701,Saint-Barthélemy,ZZZZZZ,9770101,Sous le vent,4,3212,111,108,151,203,281,921,791,365,211,69,492,688,836,779,292,125,610,2322,280,1719,278,367,448,435,149,42,337,1259,122,1493,213,321,389,344,144,83,272,1062,158,2646,5,403,128,325,585,615,300,285,1451,5,315,74,167,118,502,152,118,1195,0,89,54,157,467,113,148,167,2688,523,550,3212,0
977010102,977,97701,Saint-Barthélemy,ZZZZZZ,9770101,Centre,4,2797,82,65,136,163,212,716,764,349,234,76,388,550,685,727,318,128,487,2000,310,1482,206,281,359,426,158,51,260,1087,135,1316,182,269,326,301,160,78,227,913,175,2468,5,393,157,400,581,339,283,309,1207,5,236,89,257,118,285,118,99,1260,0,157,69,143,463,54,164,210,2356,442,530,2625,173
977010103,977,97701,Saint-Barthélemy,ZZZZZZ,9770101,Au vent,4,3784,113,124,220,252,252,1031,1053,407,269,62,607,694,1019,981,366,118,742,2711,331,2002,301,359,537,567,188,50,368,1475,159,1782,306,334,482,414,178,68,374,1236,172,3201,25,595,192,457,723,595,280,334,1746,15,457,123,216,211,487,128,108,1455,10,138,69,241,511,108,152,226,3183,601,676,3781,3
978010101,978,97801,Saint-Martin,978221,9780101,Terres Basses-Baie Nettle-Sandy Ground,1,4583,235,232,402,508,388,857,970,600,346,45,1177,875,886,974,560,111,1498,2694,391,2212,605,433,367,466,284,56,793,1215,204,2371,572,442,518,508,276,56,705,1479,187,3406,13,210,89,220,757,512,391,1215,1606,8,136,53,106,169,404,201,529,1799,5,74,36,113,588,108,190,686,2852,1731,1464,4541,42
978010102,978,97801,Saint-Martin,978221,9780101,Marigot Est et Nord,2,1844,38,73,104,224,167,331,418,260,178,51,328,375,352,426,277,87,487,1127,230,865,189,181,133,201,126,34,273,491,100,979,138,194,219,225,151,53,214,636,129,1512,0,106,71,116,334,223,195,467,682,0,64,39,53,78,169,92,187,830,0,42,32,62,256,54,103,281,1253,591,602,1696,148
978010103,978,97801,Saint-Martin,978221,9780101,Marigot Centre et Sud,2,1603,66,88,108,133,116,387,332,220,126,28,350,333,333,365,172,50,428,1022,154,739,164,171,136,181,66,20,206,479,53,865,186,162,197,184,106,30,221,543,101,1254,7,111,46,157,352,204,132,246,575,7,73,35,69,70,169,48,104,679,0,38,10,89,282,35,83,142,1017,587,560,1603,0
978010104,978,97801,Saint-Martin,978221,9780101,Saint-James-Diamant-Bellevue,1,2018,104,111,180,273,124,372,439,233,155,28,588,325,374,441,234,58,711,1125,182,945,319,140,135,215,106,30,367,497,81,1073,269,185,239,226,127,27,344,627,101,1425,0,117,26,106,356,238,177,405,624,0,74,10,31,73,202,76,157,802,0,44,15,75,283,35,101,248,1115,903,784,2018,0
978010105,978,97801,Saint-Martin,978231,9780101,Spring-Concordia,1,5639,278,263,607,889,336,1129,1404,478,231,24,1654,1081,1281,1168,392,61,2135,3249,255,2578,834,544,515,489,176,20,1132,1343,103,3060,820,537,766,679,216,41,1002,1906,152,3982,3,228,178,472,1156,557,221,1168,1747,3,168,95,176,319,392,73,523,2235,0,60,83,296,838,165,148,645,4061,1578,1681,5637,2
978010106,978,97801,Saint-Martin,978231,9780101,Galisbay-Agrement,1,2147,91,127,185,254,171,366,476,257,191,28,553,384,389,503,255,62,696,1231,220,1013,302,186,169,220,105,31,378,534,101,1133,251,198,221,283,149,31,317,697,119,1593,3,79,28,102,517,307,189,369,711,3,53,8,59,115,228,93,153,882,0,26,20,43,402,79,96,216,1234,913,884,2147,0
978010107,978,97801,Saint-Martin,978231,9780101,C. Gate-St Louis-Rambaud-Colomb.-Pic P.,1,3518,121,174,305,434,225,615,974,378,227,66,837,613,730,881,342,114,1109,2116,293,1706,426,295,320,456,163,46,575,1010,121,1812,411,318,411,425,179,69,535,1106,172,2681,13,337,101,411,581,311,293,634,1280,13,254,58,165,161,253,118,257,1402,0,83,43,246,420,58,174,378,2832,686,833,3518,0
978010108,978,97801,Saint-Martin,978241,9780101,La Savane-Gd Case-Anse Marcel-Cul de Sac,1,7400,319,355,585,890,407,1678,1844,735,527,61,1796,1278,1791,1604,798,132,2243,4570,587,3633,953,574,861,789,405,51,1198,2158,277,3767,843,704,930,816,393,81,1045,2412,310,5603,2,650,364,821,1279,569,621,1296,2682,2,473,202,382,360,453,311,499,2920,0,177,162,439,919,116,310,797,6251,1149,1445,7400,0
978010109,978,97801,Saint-Martin,978241,9780101,Quartier d'Orleans-Gloire-Griselle,1,4462,238,250,453,719,371,804,992,392,216,28,1341,956,844,928,332,61,1790,2428,244,2122,726,462,331,401,173,28,946,1038,138,2341,615,494,513,526,159,33,844,1390,106,3121,5,250,51,144,715,470,202,1284,1395,5,185,25,66,179,359,99,478,1726,0,66,25,78,536,111,103,806,2752,1710,1647,4462,0
978010110,978,97801,Saint-Martin,978241,9780101,Grand Fond-Belle Plaine-Oyster Pond,1,2532,167,157,306,321,202,525,497,214,138,5,818,457,568,447,206,35,1008,1380,144,1150,421,213,214,202,85,15,533,560,58,1382,397,245,354,245,121,20,475,821,86,1714,0,214,60,116,379,184,133,628,729,0,131,33,53,70,126,65,251,985,0,83,28,63,308,58,68,377,1489,1043,963,2532,0
